System,Issue URL,Symptom Category,Symptom Sub-Category,Symptom Stage,Root Cause Category,Root Cause Sub-Category,Root Cause Stage,Stage Gap,Fix Cost,Has PR,Fix Pattern,PR URL
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1699,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S0: Initialization,0,18.63 hours,Yes,FP1: Data interaction and mapping,https://github.com/arc53/DocsGPT/pull/1702
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1697,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S5: Generation,0,1607.03 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1400,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S5: Generation,0,1283.39 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1340,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,3,1561.69 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1313,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S3: Retrieval,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,3,26.86 hours,Yes,FP1: Data interaction and mapping,https://github.com/arc53/DocsGPT/pull/1314
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/948,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S3: Retrieval,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,3,4071.39 hours,Yes,FP2: Component logic and algorithm,https://github.com/arc53/DocsGPT/pull/1384
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/945,SP-B: Behavior Faults,SP-B2: Inefficient performance,S5: Generation,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,5,1107.59 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/arc53/DocsGPT/pull/1013
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/938,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S3: Retrieval,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,3,220.09 hours,Yes,FP2: Component logic and algorithm,https://github.com/arc53/DocsGPT/pull/952
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/932,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.4: External Data Source,S1: Indexing,0,13.39 hours,Yes,FP1: Data interaction and mapping,https://github.com/arc53/DocsGPT/pull/933
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/931,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,5621.36 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/930,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S5: Generation,0,52.29 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/884,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,423.55 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/arc53/DocsGPT/pull/916
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/833,SP-B: Behavior Faults,SP-B2: Inefficient performance,S5: Generation,RC-A: Configuration Bugs,RC-A5: Resource provisioning and orchestration bug,S0: Initialization,5,2759.89 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/800,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S0: Initialization,5,49.3 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/arc53/DocsGPT/pull/801
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/745,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B2: Component coordination mistake,S3: Retrieval,2,10043.44 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/562,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,1,149.78 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/344,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S1: Indexing,2,148.87 hours,No,N/A,N/A
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/276,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,3,100.37 hours,Yes,FP1: Data interaction and mapping,https://github.com/arc53/DocsGPT/pull/278
